gene_id,sampleA,sampleB,baseMeanA,baseMeanB,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PACRGL,S,C,2359.951333,1836.903378,2098.427356,0.361090339,0.116528959,3.09871763,0.001943602,0.047719138
LOC116950692,S,C,57.48466418,93.98941844,75.73704131,-0.710399493,0.229322216,-3.097822376,0.001949482,0.047733102
LOC116951882,S,C,9.837156011,26.29400224,18.06557913,-1.417014824,0.457667584,-3.096166029,0.001960406,1
DHCR24,S,C,1679.035194,1257.815733,1468.425464,0.416261969,0.134464599,3.095699331,0.001963493,0.04784884
LOC116948441,S,C,495.2751529,367.734941,431.505047,0.429059423,0.138616366,3.095301334,0.00196613,0.04784884
LOC116950629,S,C,236.1199693,161.3426804,198.7313248,0.546368828,0.176550395,3.094690493,0.001970184,0.04784884
LOC116950561,S,C,118.6419271,73.6600585,96.15099279,0.683172801,0.220894374,3.092757818,0.001983059,0.048031719
RCN2,S,C,162.5303041,240.197975,201.3641395,-0.559902808,0.181295138,-3.088349825,0.002012714,0.048618944
PSMB7,S,C,3956.941737,3149.581952,3553.261845,0.32907095,0.106622525,3.086317346,0.002026524,0.048821302
LOC116946993,S,C,13761.38706,10644.36706,12202.87706,0.370484992,0.120143063,3.083698573,0.002044446,0.049061001
INO80B,S,C,742.4542929,574.1162783,658.2852856,0.370393417,0.120130063,3.083269976,0.002047393,0.049061001
LOC116950594,S,C,373.4352412,559.7349245,466.5850828,-0.581493715,0.188667882,-3.082102313,0.002055442,0.049122871
LOC116950660,S,C,1344.092641,989.6361104,1166.864376,0.4409321,0.14320033,3.079127679,0.002076077,0.049484421
LOC116940231,S,C,19.88568309,42.9567034,31.42119324,-1.115659904,0.362428871,-3.078286506,0.002081946,0.049493045
LOC116942887,S,C,13695.49654,10694.08075,12194.78865,0.356859269,0.115975251,3.077029508,0.002090746,0.049571092
LOC116948521,S,C,122.0680817,185.4945968,153.7813392,-0.603384084,0.196345478,-3.073073491,0.002118663,0.050100806
MRPS10,S,C,357.8300634,242.4034072,300.1167353,0.559248851,0.182717238,3.060733945,0.002207952,0.052075213
LOC116947536,S,C,742.9615886,565.2460105,654.1037996,0.393327642,0.128559317,3.059503215,0.002217044,0.05215277
LOC116941426,S,C,265.0595306,183.801347,224.4304388,0.52548918,0.172016774,3.054871738,0.002251568,0.05274987
NDUFA6,S,C,1785.678579,1342.404341,1564.04146,0.410990975,0.134581511,3.053844267,0.002259293,0.05274987
LOC116945580,S,C,9260.60932,6668.700458,7964.654889,0.473583323,0.155082778,3.053745417,0.002260038,0.05274987
LOC116948645,S,C,323.1886388,451.215809,387.2022239,-0.480324358,0.157423352,-3.051163327,0.002279565,0.053067809
LOC116944258,S,C,151.1799248,217.906977,184.5434509,-0.52560048,0.172333195,-3.04990852,0.002289111,0.053122549
PSMC6,S,C,3398.358093,2632.783458,3015.570776,0.367986716,0.120705992,3.048620112,0.00229895,0.053122549
CCDC87,S,C,1047.217202,770.2990695,908.7581357,0.442138728,0.145067236,3.047819353,0.002305085,0.053122549
FBXW4,S,C,501.1700317,357.1452292,429.1576305,0.487721341,0.160026326,3.047756906,0.002305564,0.053122549
LOC116948237,S,C,11.39485999,1.971560277,6.683210132,2.54936313,0.836626253,3.047194755,0.00230988,1
